name,classes
Acid Splash,"Artificer, Sorcerer, Wizard"
Blade Ward,"Bard, Sorcerer, Warlock, Wizard"
Booming Blade,"Artificer, Sorcerer, Warlock, Wizard"
Chill Touch,"Sorcerer, Warlock, Wizard"
Control Flames,"Druid, Sorcerer, Wizard"
Create Bonfire,"Druid, Sorcerer, Warlock, Wizard"
Dancing Lights,"Artificer, Bard, Sorcerer, Wizard"
Decompose (HB),Cleric
Druidcraft,Druid
Eldritch Blast,Warlock
Encode Thoughts,Wizard
Fire Bolt,"Artificer, Sorcerer, Wizard"
Friends,"Bard, Sorcerer, Warlock, Wizard"
Frostbite,"Artificer, Druid, Sorcerer, Warlock, Wizard"
Green-Flame Blade,"Artificer, Sorcerer, Warlock, Wizard"
Guidance,"Artificer, Cleric, Druid"
Gust,"Druid, Sorcerer, Wizard"
Hand of Radiance (UA),Cleric
Infestation,"Druid, Sorcerer, Warlock, Wizard"
Light,"Artificer, Bard, Cleric, Sorcerer, Wizard"
Lightning Lure,"Artificer, Sorcerer, Warlock, Wizard"
Mage Hand,"Artificer, Bard, Sorcerer, Warlock, Wizard"
Magic Stone,"Druid, Warlock, Artificer"
Mending,"Artificer, Bard, Cleric, Druid, Sorcerer, Wizard"
Message,"Artificer, Bard, Sorcerer, Wizard"
Mind Sliver,"Sorcerer, Warlock, Wizard"
Minor Illusion,"Bard, Sorcerer, Warlock, Wizard"
Mold Earth,"Druid, Sorcerer, Wizard"
On/Off (UA),"Sorcerer, Warlock, Wizard"
Poison Spray,"Artificer, Druid, Sorcerer, Warlock, Wizard"
Prestidigitation,"Artificer, Bard, Sorcerer, Warlock, Wizard"
Primal Savagery,Druid
Produce Flame,Druid
Ray of Frost,"Artificer, Sorcerer, Wizard"
Resistance,"Artificer, Cleric, Druid"
Sacred Flame,Cleric
Sapping Sting,Wizard
Shape Water,"Druid, Sorcerer, Wizard"
Shillelagh,Druid
Shocking Grasp,"Artificer, Sorcerer, Wizard"
Spare the Dying,"Artificer, Cleric"
